Order ID,Order Date,Customer Name,Country,State,City,Region,Category,Sales Quantity,Profit
1,2023-01-01,Customer_38,Canada,State_B,City_Y,North,Furniture,15,344.38
2,2023-01-02,Customer_236,USA,State_A,City_Z,South,Furniture,16,909.17
3,2023-01-03,Customer_397,Canada,State_B,City_Z,West,Furniture,7,511.06
4,2023-01-04,Customer_73,UK,State_B,City_X,South,Furniture,6,46.72
5,2023-01-05,Customer_256,USA,State_B,City_Y,South,Furniture,12,832.25
6,2023-01-06,Customer_394,Canada,State_C,City_X,West,Clothing,12,19.27
7,2023-01-07,Customer_204,India,State_C,City_X,East,Clothing,4,431.9
8,2023-01-08,Customer_134,Canada,State_B,City_Y,East,Clothing,9,598.56
9,2023-01-09,Customer_336,Canada,State_A,City_Y,South,Furniture,13,431.45
10,2023-01-10,Customer_449,India,State_A,City_Y,South,Clothing,4,723.94
11,2023-01-11,Customer_145,USA,State_B,City_Y,North,Electronics,11,134.38
12,2023-01-12,Customer_130,India,State_C,City_X,East,Furniture,13,765.86
13,2023-01-13,Customer_461,USA,State_B,City_Z,North,Furniture,12,226.9
14,2023-01-14,Customer_72,Germany,State_A,City_Y,East,Electronics,7,750.82
15,2023-01-15,Customer_238,Canada,State_C,City_X,West,Clothing,17,483.35
16,2023-01-16,Customer_391,Germany,State_B,City_Y,East,Clothing,9,599.05
17,2023-01-17,Customer_282,Germany,State_B,City_X,West,Electronics,3,811.17
18,2023-01-18,Customer_179,UK,State_C,City_Z,South,Clothing,2,736.72
19,2023-01-19,Customer_277,India,State_A,City_Y,North,Electronics,11,433.76
20,2023-01-20,Customer_255,India,State_B,City_Y,North,Clothing,1,467.32
21,2023-01-21,Customer_358,India,State_A,City_Z,East,Clothing,2,322.43
22,2023-01-22,Customer_403,Canada,State_A,City_Y,East,Furniture,15,270.46
23,2023-01-23,Customer_469,India,State_C,City_Y,North,Furniture,2,735.79
24,2023-01-24,Customer_396,UK,State_C,City_Y,North,Electronics,19,656.89
25,2023-01-25,Customer_253,Canada,State_B,City_Z,East,Electronics,12,248.04
26,2023-01-26,Customer_491,UK,State_A,City_Y,East,Electronics,3,544.19
27,2023-01-27,Customer_157,UK,State_A,City_Y,East,Electronics,5,714.84
28,2023-01-28,Customer_414,Canada,State_A,City_Z,West,Furniture,5,101.36
29,2023-01-29,Customer_399,USA,State_B,City_Z,South,Clothing,13,278.13
30,2023-01-30,Customer_51,USA,State_A,City_Z,North,Furniture,8,942.17
31,2023-01-31,Customer_69,USA,State_B,City_Z,East,Furniture,2,500.2
32,2023-02-01,Customer_216,Germany,State_C,City_Y,South,Electronics,2,456.23
33,2023-02-02,Customer_472,USA,State_A,City_Z,East,Clothing,6,486.0
34,2023-02-03,Customer_490,Germany,State_A,City_Z,South,Clothing,5,423.91
35,2023-02-04,Customer_242,India,State_C,City_Y,North,Electronics,3,258.97
36,2023-02-05,Customer_479,Canada,State_A,City_X,West,Electronics,19,34.99
37,2023-02-06,Customer_353,India,State_A,City_Z,South,Clothing,19,641.77
38,2023-02-07,Customer_87,India,State_C,City_Y,West,Clothing,1,114.75
39,2023-02-08,Customer_142,India,State_A,City_Y,South,Furniture,6,367.57
40,2023-02-09,Customer_490,UK,State_C,City_Z,South,Clothing,15,516.21
41,2023-02-10,Customer_394,Germany,State_A,City_Z,West,Electronics,16,987.95
42,2023-02-11,Customer_8,India,State_A,City_Z,East,Clothing,13,326.18
43,2023-02-12,Customer_320,Germany,State_B,City_Z,North,Furniture,12,528.47
44,2023-02-13,Customer_318,Germany,State_A,City_Z,North,Furniture,10,687.08
45,2023-02-14,Customer_23,Germany,State_C,City_X,West,Furniture,9,592.91
46,2023-02-15,Customer_314,USA,State_C,City_Y,East,Clothing,5,219.46
47,2023-02-16,Customer_2,UK,State_C,City_Z,South,Clothing,17,830.9
48,2023-02-17,Customer_385,India,State_C,City_X,North,Clothing,17,228.44
49,2023-02-18,Customer_317,UK,State_B,City_Y,North,Clothing,15,675.93
50,2023-02-19,Customer_210,Canada,State_B,City_Y,East,Furniture,5,44.78
51,2023-02-20,Customer_265,India,State_B,City_X,West,Electronics,8,753.11
52,2023-02-21,Customer_217,UK,State_C,City_Y,East,Electronics,6,636.92
53,2023-02-22,Customer_142,USA,State_A,City_Y,South,Electronics,4,580.57
54,2023-02-23,Customer_116,Canada,State_B,City_Y,South,Electronics,10,978.09
55,2023-02-24,Customer_432,USA,State_C,City_Y,East,Furniture,16,123.56
56,2023-02-25,Customer_491,UK,State_B,City_X,North,Clothing,4,426.71
57,2023-02-26,Customer_122,UK,State_C,City_X,North,Furniture,4,381.21
58,2023-02-27,Customer_457,Canada,State_B,City_Z,South,Electronics,7,528.98
59,2023-02-28,Customer_31,USA,State_A,City_Y,East,Electronics,9,149.38
60,2023-03-01,Customer_72,UK,State_A,City_Z,South,Furniture,10,560.92
61,2023-03-02,Customer_388,UK,State_A,City_X,West,Clothing,10,106.55
62,2023-03-03,Customer_455,Germany,State_B,City_Y,South,Furniture,7,684.06
63,2023-03-04,Customer_406,UK,State_A,City_Y,South,Electronics,10,986.13
64,2023-03-05,Customer_50,USA,State_C,City_X,South,Furniture,5,128.95
65,2023-03-06,Customer_314,USA,State_B,City_Z,West,Furniture,19,754.31
66,2023-03-07,Customer_4,USA,State_C,City_X,South,Furniture,1,630.85
67,2023-03-08,Customer_453,Germany,State_C,City_Y,East,Furniture,4,838.28
68,2023-03-09,Customer_281,India,State_A,City_X,North,Furniture,4,936.08
69,2023-03-10,Customer_498,Germany,State_A,City_Z,West,Furniture,12,17.4
70,2023-03-11,Customer_44,UK,State_A,City_Z,South,Clothing,12,666.3
71,2023-03-12,Customer_77,Canada,State_C,City_X,West,Clothing,10,239.47
72,2023-03-13,Customer_27,India,State_C,City_Y,East,Clothing,13,579.5
73,2023-03-14,Customer_309,India,State_A,City_X,South,Furniture,7,103.5
74,2023-03-15,Customer_337,UK,State_B,City_Z,North,Clothing,14,94.18
75,2023-03-16,Customer_110,USA,State_B,City_Z,South,Electronics,19,46.07
